epoch,acc,loss,lr,val_acc,val_loss
0,0.8177777801950773,0.35764524097243944,0.001,0.9700000071525574,0.15653018295764923
1,0.9000000015894571,0.21904766869420805,0.001,0.9700000071525574,0.10998451998457312
2,0.9133333365122477,0.18031918368923167,0.001,0.9600000095367431,0.126628135740757
3,0.9133333373069763,0.1461163978278637,0.001,0.9600000095367431,0.12532691238448024
4,0.9322222264607748,0.12196195980223516,0.0003162278,0.9700000071525574,0.11004976918920875
5,0.9422222248713176,0.09701624703903992,0.0003162278,0.9700000071525574,0.11510445118881762
6,0.9411111140251159,0.08211863575949489,0.000100000005,0.9700000071525574,0.13032108837738632
7,0.9411111179987589,0.09156184290419332,0.000100000005,0.9700000071525574,0.1307164914533496
8,0.9411111164093018,0.08088786123248307,3.1622778e-05,0.9700000071525574,0.12842227723449468
9,0.9533333388964335,0.08012006655849593,3.1622778e-05,0.9700000071525574,0.1235763644054532
10,0.9500000047683715,0.07878409703363559,1.0000001e-05,0.9700000071525574,0.1234150866791606
11,0.9444444521268209,0.07704196793471056,1.0000001e-05,0.9700000071525574,0.12329555109143257
12,0.9466666722297669,0.06639379963330914,3.1622778e-06,0.9700000071525574,0.12365827460773289
13,0.9444444481531779,0.08320804355064562,3.1622778e-06,0.9700000071525574,0.12377681150101125
14,0.94888889392217,0.07972586878148528,1.0000001e-06,0.9700000071525574,0.123853738643229
15,0.9477777830759684,0.0724969864184095,1.0000001e-06,0.9700000071525574,0.12377771015278995
16,0.9511111156145732,0.0682563751610966,5e-07,0.9700000071525574,0.12380161943845451
17,0.9477777830759684,0.06884114704599294,5e-07,0.9700000071525574,0.12383104803040623
18,0.9500000023841858,0.0725358295871168,5e-07,0.9700000071525574,0.12383753807283938
19,0.9500000023841858,0.07729939941258636,5e-07,0.9700000071525574,0.12385692302137613
20,0.953333338101705,0.07149386043427512,5e-07,0.9700000071525574,0.12384707573801279
21,0.9455555582046509,0.07375088847125881,5e-07,0.9700000071525574,0.12384213139303028
22,0.9555555605888366,0.06732680510363935,5e-07,0.9700000071525574,0.12384158077649772
23,0.9511111172040304,0.07056306283882198,5e-07,0.9700000071525574,0.12375995763577521
24,0.9566666722297669,0.06218193461920843,5e-07,0.9700000071525574,0.12380346133373678
25,0.9544444497426351,0.06376619312524175,5e-07,0.9700000071525574,0.12388519695028663
26,0.9422222288449605,0.07860122060061257,5e-07,0.9700000071525574,0.12387490924447775
27,0.9400000047683715,0.07816421139519662,5e-07,0.9700000071525574,0.12380852503702044
28,0.9577777830759684,0.06790410966301957,5e-07,0.9700000071525574,0.12383924726396799
29,0.9344444489479065,0.08108051242481451,5e-07,0.9700000071525574,0.12388590915128589
